"Continent","Android","iOS","Unknown","Samsung"
Montserrat ,59.34,40.66,0,0
Holy See (Vatican City State) ,72.77,27.23,0,0
Norfolk Island ,34.27,65.73,0,0
Niue ,65.84,34.16,0,0
Saint Helena ,70.33,29.67,0,0
Svalbard & Jan Mayen Islands ,16.95,83.05,0,0
Pitcairn Islands ,72.09,27.91,0,0
North Korea ,49.15,50.85,0,0
South Georgia and the South Sandwich Islands ,16.67,83.33,0,0
Christmas Island ,100,0,0,0
